Testing network. 0.005963
GG test (62.000000,60.000000) -> 0.818903, should be 0.730000, difference=0.088903
GG test (70.000000,69.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (67.000000,70.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (48.000000,65.000000) -> 0.647526, should be 0.630000, difference=0.017526
GG test (52.000000,75.000000) -> 0.647526, should be 0.680000, difference=0.032474
GG test (90.000000,87.000000) -> 0.818903, should be 0.970000, difference=0.151097
GG test (92.000000,88.000000) -> 0.818903, should be 0.970000, difference=0.151097
GG test (57.000000,69.000000) -> 0.647417, should be 0.630000, difference=0.017417
GG test (91.000000,92.000000) -> 0.818903, should be 0.970000, difference=0.151097
GG test (83.000000,75.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (66.000000,67.000000) -> 0.818903, should be 0.680000, difference=0.138903
GG test (74.000000,78.000000) -> 0.818903, should be 0.850000, difference=0.031097
GG test (70.000000,82.000000) -> 0.818903, should be 0.850000, difference=0.031097
GG test (60.000000,63.000000) -> 0.818903, should be 0.730000, difference=0.088903
GG test (91.000000,88.000000) -> 0.818903, should be 0.970000, difference=0.151097
GG test (65.000000,59.000000) -> 0.818903, should be 0.730000, difference=0.088903
GG test (87.000000,71.000000) -> 0.818903, should be 0.850000, difference=0.031097
GG test (49.000000,63.000000) -> 0.647417, should be 0.630000, difference=0.017417
GG test (58.000000,67.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (62.000000,73.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (81.000000,85.000000) -> 0.818903, should be 0.900000, difference=0.081097
GG test (69.000000,78.000000) -> 0.818903, should be 0.730000, difference=0.088903
GG test (61.000000,75.000000) -> 0.647417, should be 0.680000, difference=0.032583
GG test (77.000000,70.000000) -> 0.818903, should be 0.850000, difference=0.031097
GG test (72.000000,67.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (75.000000,69.000000) -> 0.818903, should be 0.850000, difference=0.031097
GG test (80.000000,80.000000) -> 0.818903, should be 0.850000, difference=0.031097
GG test (79.000000,85.000000) -> 0.818903, should be 0.900000, difference=0.081097
GG test (67.000000,78.000000) -> 0.818903, should be 0.730000, difference=0.088903
GG test (70.000000,72.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (74.000000,66.000000) -> 0.818903, should be 0.780000, difference=0.038903
GG test (88.000000,84.000000) -> 0.818903, should be 0.900000, difference=0.081097

